domanda,risposta_gold,risposta,se_corretta
Qual è il requisito minimo di CFU richiesto per accedere ai benefici ER.GO?,"C. Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.","C. Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.",True
In quale delle seguenti date l'International Desk di Bologna sarà chiuso?,D. venerdì 29 marzo 2024,D. venerdì 29 marzo 2024,True
Quali sono i requisiti minimi per l'ammissione al terzo anno del corso di laurea in Astronomia?,A. 70 CFU riconoscibili di cui almeno 12 CFU nei SSD FIS,C. 70 CFU riconoscibili di cui almeno 10 CFU nei SSD FIS,False
"Per essere ammessi al secondo anno del Corso di Laurea in Chimica e Chimica dei Materiali, quali CFU sono necessari in totale?",A. 70 CFU,D. 90 CFU,False
Qual è la data limite per la presentazione della domanda di Abbreviazione di Corso per chi si immatricola in seguito ad una carriera chiusa?,B. 28 Novembre 2024,B. 28 Novembre 2024,True
"Per poter ottenere l'esenzione dal pagamento della contribuzione, gli studenti con certificazione di invalidità civile pari o superiore al 66% devono:",C. inviare il certificato attestante la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it,C. inviano il certificato attestante la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it,True
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana?,B. 02/09/2024,D. 19/09/2024,False
"Secondo il bando, qual è il numero minimo di crediti ECTS necessari per l'ammissione al secondo anno di un corso di laurea?",B. 30,D. 70,False
"Per l'ammissione al terzo anno di un corso di laurea, quanti punti vengono assegnati per ogni credito riconosciuto?",C. ½ punto,D. 1 punto,False
Entro quale data gli studenti recuperati devono iscriversi al corso?,B. 10 ottobre 2024,D. 16 ottobre 2024,False
Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,B. 28 febbraio 2025,A. 28 novembre 2024,False
