domanda,risposta_gold,risposta,se_corretta
A cosa possono rivolgersi gli studenti dell'Università di Bologna per ricevere supporto relativo alle attività didattiche e integrative?,A. I tutor dei Corsi di Studio,"A
    A cosa possono rivolgersi gli studenti dell'Università di Bologna per ricevere supporto relativo alle attività didattiche e integrative?
    A. I tutor dei Corsi di Studio",True
Qual è il tipo di accesso richiesto per il corso di laurea in Sviluppo e Cooperazione Internazionale?,B. Numero programmato - TOLC-E,"B
    B. Numero programmato - TOLC-E",True
Quando è possibile iscriversi alla selezione straordinaria per l'accesso al CdS SVIC per l'anno accademico 2024-2025?,B. Dal 10 settembre al 19 settembre 2024,"B
    B. Dal 10 settembre al 19 settembre 2024",True
Quale evento accademico si svolge il 2 ottobre 2024 presso l'università?,B. Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”,"B

    The correct answer is: B. Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”",True
"Quale tra i tre corsi di laurea si concentra principalmente sullo studio delle scienze sociali, con particolare attenzione alla scienza politica e alla sociologia, fornendo agli studenti gli strumenti per analizzare il comportamento individuale e di gruppo nell'arena politica e nella vita sociale?","D. Scienze Politiche, Sociali e Internazionali (SPOSI)","D
    The text of the correct answer is:  Scienze Politiche, Sociali e Internazionali (SPOSI)",True
Quale delle seguenti affermazioni descrive correttamente la caratteristica principale del Corso di Scienze Internazionali e Diplomatiche (SID)?,A. Forte vocazione all'internazionalizzazione tipica dei Corsi imperniati sulle Relazioni Internazionali.,"A.
    Forte vocazione all'internazionalizzazione tipica dei Corsi imperniati sulle Relazioni Internazionali.",True
A quale classe di laurea appartiene il corso di laurea SVIC?,"A. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace","A
    A. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace",True
In quale anno è possibile accedere al programma di scambio di Buenos Aires per il corso di laurea in Scienze Politiche Sociali Internazionali?,D. Al primo anno,C. Al terzo anno.,False
Quale tra le seguenti NON è una funzione esercitata dal Consiglio di Corso?,A.  predisposizione dei calendari e delle commissioni degli esami di laurea,"D

    The function not exercised by the Council of Corso is the election of the Coordinator of the Course. This function is not among the responsibilities listed in the context.",False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","B. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana o per almeno 30 giornate lavorative nei dodici mesi antecedenti alla scadenza dell'avviso.","B
    Bologna)
Apertura domanda online: 28 marzo 2024
Scadenza per il candidato per fare domanda: 13 maggio 2024 h. 13 (ora italiana)
Pubblicazione graduatorie: 20 giugno 2024
Scadenza per i vincitori per effettuare l’accettazione online: 27 giugno 2024
Partenze: dal 1 settembre 2024
Solo per chi si candida su carriera futura: 1 gennaio 2025
Termine delle mobilità: 31 luglio 2025www.unibo.it
Grazie per l’attenzione!
Settore Area Geografica Europa
+39 051 20 99348 - 98042 – Lun a ven: 9:00 - 13:00
Email:

Compilazione piano di studi a.a. 2024-2025 — Sviluppo e cooperazione internazionale - Laurea - Bologna
===============

hai già fatto parte della comunità studentesca dell’Università di Bologna, dal 2004 in avanti;
*   hai sostenuto una prova scritta o orale, anche a distanza, presso l’Ateneo di Bologna (ad esclusione di TOLC e prove di selezioni per concorsi nazionali).

Una volta ottenuto il riconoscimento, questo sarà valido per l'intero anno accademico e potrai ripresentare la domanda per tutti gli anni in cui rinnoverai l'iscrizione.

Lo status conseguito sarà visibile ai docenti sul servizio online Almaesami.

**Servizio Conciliazione studio e lavoro:** [conciliazione.studiolavoro@unibo.it](mailto:cocniliazione.studiolavoro@unibo.it ""mailto:cocniliazione.studiolavoro@unibo.it"")

Su cosa potrai contare
---------------------

presso i quali non sia attivo l'anno integrativo. Con questo titolo hai l'obbligo di assolvere
entro il 31 marzo 2026, presso l'Ateneo di Bologna, lo specifico debito formativo aggiuntivo,
il cui mancato superamento comporterà, nell'anno accademico successivo, l'iscrizione al
primo anno come ripetente. 10

Titolo di studio conseguito all'estero dopo dodici anni di scolarità, che consente
l'ammissione all'università e al corso di laurea prescelto nel Paese dove è stato conseguito,
di recupero (terzo appello annuale) si potrà sostenere a Bologna nel mese di settembre 2023 secondo il
calendario accademico del Clabe.

Se lo studente non supera la prova di verifica al terzo appello, sarà possibile inserire in carriera
l'insegnamento presente precedentemente nel piano di studi istituzionale.

Le attività fruibili nei piani di studi dei diversi corsi di laurea e i riconoscimenti sono indicate
**Ulteriori forme di sostegno saranno pubblicate in questa pagina** nei prossimi mesi.

Chi può beneficiarne
--------------------

Le misure previste sono dedicate a chi ottiene il riconoscimento dello status “studente lavoratore” che puoi richiedere, al momento della pubblicazione dell'avviso, se possiedi i seguenti requisiti:

4.8. Passaggio di corso all’intern o dell’Università di Bologna

Se hai una carriera universitaria attiva all’Università di Bologna e vuoi proseguirla nel corso per il
quale hai ottenuto un posto, devi effettuare un passaggio di corso.

La procedura di passaggio cambia in base alla selezione",True
Quali servizi di supporto vengono offerti ai studenti per migliorare il loro apprendimento?,C. Servizi di tutorato dedicati per attività di supporto peer to peer.,C. Servizi di tutorato dedicati per attività di supporto peer to peer.,True
"Per poter partecipare alle selezioni per il Corso di Laurea in Sviluppo e cooperazione internazionale, è necessario sostenere:",A. Il TOLC-E,A. Il TOLC-E,True
Quando è possibile sostenere il TOLC per l'a.a. 2024/25 presso l'Università di Bologna?,D. Tra febbraio e luglio 2024,"D
    D. Tra febbraio e luglio 2024",True
Qual è la data limite per l'inserimento dell'attestazione ISEE per evitare il pagamento della mora?,A. 30 ottobre 2024 ore 18:00,"A
    A. 30 ottobre 2024 ore 18:00",True
