domanda,risposta_gold,risposta,se_corretta
A cosa possono rivolgersi gli studenti dell'Università di Bologna per ricevere supporto relativo alle attività didattiche e integrative?,D. I tutor dei Corsi di Studio,"C
    The text of the correct answer is: Il dipartimento di riferimento per il proprio corso di laurea",False
Qual è il tipo di accesso richiesto per il corso di laurea in Sviluppo e Cooperazione Internazionale?,B. Numero programmato - TOLC-E,"D
    The text of the correct answer is: Selezione libera",False
Quando è possibile iscriversi alla selezione straordinaria per l'accesso al CdS SVIC per l'anno accademico 2024-2025?,C. Dal 10 settembre al 19 settembre 2024,"C
    The text of the correct answer is: Dal 10 settembre al 19 settembre 2024.",True
Quale evento accademico si svolge il 2 ottobre 2024 presso l'università?,B. Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”,"B
    The text of the correct answer is: Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”",True
"Quale tra i tre corsi di laurea si concentra principalmente sullo studio delle scienze sociali, con particolare attenzione alla scienza politica e alla sociologia, fornendo agli studenti gli strumenti per analizzare il comportamento individuale e di gruppo nell'arena politica e nella vita sociale?","B. Scienze Politiche, Sociali e Internazionali (SPOSI)","B
    The text of the correct answer is:  Scienze Politiche, Sociali e Internazionali (SPOSI)",True
Quale delle seguenti affermazioni descrive correttamente la caratteristica principale del Corso di Scienze Internazionali e Diplomatiche (SID)?,B. Forte vocazione all'internazionalizzazione tipica dei Corsi imperniati sulle Relazioni Internazionali.,"D
    The text of the correct answer is: D. Fornisce conoscenze specifiche in ambito giuridico, con particolare attenzione alla legislazione internazionale.",False
A quale classe di laurea appartiene il corso di laurea SVIC?,"B. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace","B
    The text of the correct answer is: B. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace",True
In quale anno è possibile accedere al programma di scambio di Buenos Aires per il corso di laurea in Scienze Politiche Sociali Internazionali?,C. Al primo anno,"C
    (The correct answer in English is: Al first year)",True
Quale tra le seguenti NON è una funzione esercitata dal Consiglio di Corso?,C.  predisposizione dei calendari e delle commissioni degli esami di laurea,"A
    (In Italian: La lettera della risposta corretta è: A)",False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana o per almeno 30 giornate lavorative nei dodici mesi antecedenti alla scadenza dell'avviso.","C
    The text of the correct answer is: Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana o per almeno 30 giornate lavorative nei dodici mesi antecedenti alla scadenza dell'avviso.",True
Quali servizi di supporto vengono offerti ai studenti per migliorare il loro apprendimento?,B. Servizi di tutorato dedicati per attività di supporto peer to peer.,"C
    The text of the correct answer is: C. Un sistema di valutazione online che fornisce feedback immediato.",False
"Per poter partecipare alle selezioni per il Corso di Laurea in Sviluppo e cooperazione internazionale, è necessario sostenere:",A. Il TOLC-E,"B
    The text of the correct answer is: Un esame di ammissione organizzato direttamente dall'Università di Bologna",False
Quando è possibile sostenere il TOLC per l'a.a. 2024/25 presso l'Università di Bologna?,D. Tra febbraio e luglio 2024,"A
    The text of the correct answer is: Solo in presenza, dal 4 marzo al 30 aprile 2024",False
Qual è la data limite per l'inserimento dell'attestazione ISEE per evitare il pagamento della mora?,A. 30 ottobre 2024 ore 18:00,"C
    The text of the correct answer is: 15 ottobre 2024 ore 18:00",False
A chi è rivolta la selezione straordinaria per i corsi di laurea a numero programmato per l'anno accademico 2024/2025?,"A. Cittadini italiani, cittadini dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con cittadini dell'UE","A
    The text of the correct answer is: A cittadini italiani, cittadini dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con cittadini dell'UE.",True
"Secondo il bando di ammissione A.A. 2024/2025, entro quale data i cittadini non-UE residenti all'estero devono presentare il certificato di conoscenza della lingua italiana?",C. 16/09/2024,C. 16/09/2024.,True
"Secondo il bando di ammissione A.A. 2024/2025, entro quale data è necessario immatricolarsi, in caso di vittoria in graduatoria o recupero?","A. Entro i termini perentori indicati nei paragrafi 4.7, 4.8 e 4.9 del bando","A
    The text of the correct answer is: Entro i termini perentori indicati nei paragrafi 4.7, 4.8 e 4.9 del bando",True
"Secondo il bando, qual è la conseguenza per chi non rispetta le scadenze di pagamento per le procedure di ammissione?","C. Esclusione dalla procedura, indipendentemente dal motivo.","C. Esclusione dalla procedura, indipendentemente dal motivo.",True
Qual è la data limite per la candidatura alla seconda selezione?,"D. 15 luglio 2024, ore 13.00","B
    The text of the correct answer is: 29 aprile 2024, ore 13.00.",False
Quando è possibile effettuare l'immatricolazione per chi è stato ammesso alla selezione ordinaria?,B. Dal 25 luglio 2024 al 30 luglio 2024 compreso,"D
    The text of the correct answer is: Dal 1° agosto 2024 al 26 agosto 2024 compreso.",False
"In base al bando, quanti posti sono disponibili per il corso di Scienze Politiche, Sociali e Internazionali (SPOSI) per i cittadini italiani, dell'Unione Europea e categorie equiparate nella prima selezione?",D. 300,"C
    (200 posti sono disponibili per il corso di Scienze Politiche, Sociali e Internazionali per i cittadini italiani, dell'Unione Europea e categorie equiparate nella prima selezione)",False
"Secondo il bando, entro quale data un studente con un diploma sperimentale in 4 anni deve aver conseguito il diploma di scuola secondaria superiore?",C. 30 dicembre 2024,"B
    (The correct answer in English is: 31 March 2024)",False
In quale situazione è possibile iscriversi contemporaneamente a due corsi di studi presso l'Università di Bologna?,"A. Se già iscritto ad un corso universitario (Università di Bologna o altro Ateneo) e non si intende rinunciare, trasferirsi o effettuare un passaggio di corso.","B
    The text of the correct answer is: Se si è già immatricolati a un corso di questo bando e successivamente si ottiene un posto anche in un altro corso.",False
