domanda,risposta_gold,risposta,se_corretta
Qual è il requisito minimo di CFU richiesto per accedere ai benefici ER.GO?,"A. Il numero minimo di CFU richiesto è determinato dall'anno di prima immatricolazione all'università, indipendentemente dall'anno di corso a cui vieni ammesso.",A,True
In quale delle seguenti date l'International Desk di Bologna sarà chiuso?,D. venerdì 29 marzo 2024,C,False
Quali sono i requisiti minimi per l'ammissione al terzo anno del corso di laurea in Astronomia?,A. 70 CFU riconoscibili di cui almeno 12 CFU nei SSD FIS,A,True
"Per essere ammessi al secondo anno del Corso di Laurea in Chimica e Chimica dei Materiali, quali CFU sono necessari in totale?",A. 70 CFU,A,True
Qual è la data limite per la presentazione della domanda di Abbreviazione di Corso per chi si immatricola in seguito ad una carriera chiusa?,A. 28 Novembre 2024,D,False
"Per poter ottenere l'esenzione dal pagamento della contribuzione, gli studenti con certificazione di invalidità civile pari o superiore al 66% devono:",D. inviare il certificato attestante la loro condizione all'indirizzo email della segreteria studenti di scienze segscienze@unibo.it,D,True
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana?,D. 02/09/2024,C,False
"Secondo il bando, qual è il numero minimo di crediti ECTS necessari per l'ammissione al secondo anno di un corso di laurea?",D. 30,D,True
"Per l'ammissione al terzo anno di un corso di laurea, quanti punti vengono assegnati per ogni credito riconosciuto?",D. ½ punto,D,True
Entro quale data gli studenti recuperati devono iscriversi al corso?,A. 10 ottobre 2024,B,False
Qual è la data limite per attivare la carriera universitaria dopo l'immatricolazione?,C. 28 febbraio 2025,A,False
"Secondo il bando, entro quale data deve essere presentata la domanda di passaggio di corso per gli studenti già iscritti ad altro corso di studio all'Università di Bologna?",B. 07/10/2024,D,False
Entro quale termine è possibile presentare un ricorso contro il provvedimento riguardante l'accreditamento dei corsi di studio?,B. 60 giorni dalla pubblicazione del bando,B,True
Qual è la conseguenza penale per chi fornisce dichiarazioni false nel modulo?,A.  È punito ai sensi del codice penale e delle leggi speciali in materia.,A,True
Quale dei seguenti link fornisce informazioni su come iscriversi agli anni successivi al primo anno di laurea in Matematica presso l'Università di Bologna?,C. http://www.unibo.it/it/didattica/iscrizioni-trasferimenti-e-laurea/iscriversi-anni-successivi-al-primo,C,True
Quale tra le seguenti opzioni NON è un argomento trattato nella sezione dedicata alle iscrizioni ai corsi di laurea e laurea magistrale a ciclo unico?,D. Ottenere lo status di studente-atleta,A,False
"Quali sono le due risorse disponibili per gli studenti che desiderano approfondire l'equilibrio tra studio e lavoro, o la possibilità di abbreviare il percorso di studi?",D. Conciliare studio e lavoro e Abbreviazione di carriera,D,True
Quale tra questi aspetti NON è menzionato come parte dell'organizzazione e della qualità del corso di laurea in Matematica?,C. Servizi di orientamento,A,False
Quali sono le conseguenze per gli studenti che non superano l'obbligo formativo aggiuntivo (OFA) entro la scadenza prevista?,B. Saranno iscritti all'anno accademico successivo come ripetenti all'anno di corso e dovranno ripetere la procedura prevista per il superamento dell'OFA.,B,True
"Secondo il regolamento, cosa succede agli studenti che non superano l'Obbligo Formativo Aggiuntivo (OFA) entro la scadenza prevista?",C. Saranno iscritti all'anno accademico successivo come ripetenti e dovranno ripetere la procedura per il superamento dell'OFA.,C,True
"Secondo il regolamento didattico, quali sono i criteri principali per il riconoscimento dei crediti formativi universitari acquisiti in corsi di studio di diversa classe presso università telematiche o estere?",C. Analisi del programma svolto e valutazione della congruità dei settori scientifico disciplinari e dei contenuti delle attività formative con gli obiettivi formativi del corso di studio.,C,True
Quale aspetto viene considerato nella determinazione dei crediti assegnati alle attività formative?,C. Gli obiettivi formativi programmati,C,True
Quale dei seguenti servizi NON è disponibile per gli studenti tramite il portale 'Servizi Online' dell'Università di Bologna?,C. AlmaEsami,D,False
Quale dei seguenti servizi NON è menzionato come disponibile per gli studenti dell'Università di Bologna?,A.  Incarichi extraistituzionali,A,True
Quali sono le principali aree di focus per studenti che desiderano ottimizzare la propria esperienza universitaria?,"B. Ridurre i costi, utilizzare i servizi offerti e migliorare la qualità della vita durante gli studi",B,True
Quali sono i tre principali argomenti trattati nei video YouTube?,"B. Ridurre i costi del percorso universitario, utilizzare i servizi offerti e vivere al meglio durante gli studi",B,True
Quale delle seguenti app NON è menzionata come disponibile per gli studenti dell'Università di Bologna?,A. myUniBo,D,False
Quale delle seguenti NON è una competenza associata alla funzione di 'Esperto matematico'?,D. Capacità progettuali e di pianificazione,B,False
Quale giorno della settimana è possibile contattare il servizio di orientamento telefonicamente?,"B. Lunedì, Mercoledì e Venerdì",D,False
In quale orario è possibile contattare il servizio di orientamento per studenti internazionali?,A. Venerdì dalle 10:00 alle 11:00,A,True
In quale orario è possibile contattare il servizio di orientamento per lavoro tramite telefono?,"A. Lunedì, Martedì, Giovedì e Venerdì dalle 10:00 alle 12:00",B,False
"Secondo il corso di laurea in Matematica, quali sono le principali abilità che il laureato dovrebbe possedere per applicare le proprie conoscenze?","C. Padronanza del linguaggio e del ragionamento matematico, capacità di analisi e sintesi, capacità di formalizzare e risolvere problemi matematici semplici.",C,True
Quale abilità NON è specificamente menzionata come obiettivo del corso di laurea in Matematica?,C. Capacità di programmazione in linguaggi informatici,C,True
Quale dei seguenti servizi online NON è specificamente menzionato come disponibile per gli studenti dell'Università di Bologna?,D. AlmaEsami,A,False
Quale servizio online NON è disponibile per gli studenti dell'Università di Bologna?,C.  IRIS - Archivio produzione scientifica,D,False
Come possono gli studenti conoscere le opinioni degli studenti che frequentano il Corso di Laurea in Matematica a Bologna?,C. Guardando un video su YouTube,C,True
Quale dei seguenti servizi online è specificamente menzionato come disponibile per gli studenti dell'Università di Bologna?,B. AlmaEsami,B,True
Quale dei seguenti servizi NON è disponibile tramite il portale di Ateneo dell'Università di Bologna?,A. UniboImmagine,C,False
Quando è indicativamente possibile verificare gli importi delle tasse universitarie per il nuovo anno accademico?,A. Dal 25 luglio,A,True
Quando è indicativamente possibile verificare gli importi delle tasse universitarie per l'anno accademico in corso?,B. Dal 25 luglio,B,True
Quale informazione NON è disponibile sul sito web?,C. Note legali,B,False
Quale dei seguenti servizi NON è disponibile per gli studenti tramite il portale online dell'Università di Bologna?,C. Incarichi extraistituzionali,C,True
Quali sono i codici dei piani didattici disponibili per l'anno accademico 2024/2025?,D. 6061 e 8010,D,True
Quale codice identifica il piano didattico per gli studenti immatricolati nell'anno accademico 2024/25 nel corso di laurea in Matematica?,C. 6061,C,True
Quali opportunità di finanziamento per gli studi sono disponibili per gli studenti presso l'Università di Bologna?,"C. ER.GO: diritto agli studi, incentivi per lo studio, borse di studio per studenti internazionali, prestito fiduciario UniCredit ad Honorem",A,False
Quale tra queste opzioni NON è un'opportunità per i laureati in matematica dell'Università di Bologna?,D. Prepararsi al mondo del lavoro,A,False
Quale dei seguenti servizi NON è disponibile per gli studenti dell'Università di Bologna tramite il portale online?,B. AlmaEsami,C,False
Quali sono i codici dei piani didattici disponibili per il corso di laurea in Matematica nell'anno accademico 2024/2025?,A. 6061 e 8010,A,True
"Secondo i dati forniti, quale percentuale di laureati del corso di Matematica lavora attualmente?",A. 6%,A,True
Quale dei seguenti servizi online NON è specificamente menzionato come disponibile per gli studenti dell'Università di Bologna?,B. AlmaEsami,C,False
Quale dei seguenti servizi NON è elencato come disponibile per gli studenti dell'Università di Bologna?,A. UniboImmagine,A,True
Chi è responsabile della proposta e del sostegno delle istanze degli studenti del Corso?,B. I rappresentanti degli studenti eletti periodicamente,C,False
"Oltre a Instagram, su quale altra piattaforma social l'Università di Bologna è presente?",B. TikTok,B,True
Quale tra i seguenti servizi online è specificamente menzionato per gli studenti della facoltà di Matematica all'Università di Bologna?,A. AlmaEsami,A,True
Quale dei seguenti servizi NON è disponibile per gli studenti dell'Università di Bologna?,C.  Concilium,C,True
Qual è il principale compito della Commissione di Accertamento della Qualità del Corso di studio?,C. Supportare il Coordinatore nel presidio delle procedure di accertamento di qualità e nella diffusione della cultura della qualità.,C,True
Quale tra le seguenti NON è una responsabilità della Commissione di gestione AQ del Corso di studio?,"D. Formulare pareri sull'istituzione, attivazione, modifica e soppressione dell'offerta formativa.",A,False
Quante app sono disponibili per gli studenti dell'Università di Bologna?,A. Quattro,C,False
Quale docente ha pubblicato l'ultimo avviso il 2022-09-22?,D. Elisa Ercolessi,D,True
Quale docente è stato nominato professore ordinario nel 2021?,C. Antonella Grassi,C,True
In quale anno è stato pubblicato l'ultimo avviso?,B. 2010,B,True
Quali sono gli ambiti di specializzazione offerti al terzo anno del corso di laurea per integrare la formazione in relazione agli interessi degli studenti?,"A. statistica, intelligenza artificiale, ricerca operativa, crittografia, logica",A,True
Quale dei seguenti servizi NON è disponibile per gli studenti dell'Università di Bologna?,C. AlmaEsami,D,False
Quale tra questi servizi NON è disponibile per gli studenti dell'Università di Bologna?,A. U-Web Reporting - Reportistica Contabile Progetti,B,False
Quali sono le piattaforme social su cui è possibile seguire l'Università di Bologna?,"C. Instagram, TikTok, YouTube, Telegram, LinkedIn, Facebook, Twitter e Spreaker",C,True
Quale dei seguenti servizi online NON è specificamente menzionato come disponibile per gli studenti dell'Università di Bologna?,C. AlmaEsami,B,False
Quale dei seguenti servizi NON è disponibile tramite il portale di Ateneo dell'Università di Bologna?,A. UniboImmagine,A,True
Quale tipo di corso NON richiede una corrispondenza specifica con un insegnamento italiano per il riconoscimento dei crediti?,B. Corsi Liberi,C,False
"Per i Corsi Opzionali di ambito matematico, quanti crediti possono essere riconosciuti per un esame superato presso una sede esterna?",B. Un numero di crediti corrispondente a quello dell'insegnamento di ambito matematico presso la sede esterna.,C,False
Entro quale data deve essere comunicata la scelta del tirocinio per un progetto di Dipartimento?,D. 15 ottobre o 15 marzo,D,True
Quando è necessario consegnare la documentazione relativa al tirocinio per l'approvazione da parte della commissione?,"B. Prima di ogni appello di laurea, circa un mese prima della data di laurea.",B,True
"Secondo il corso di laurea in Matematica, quali sono le principali attività che contribuiscono allo sviluppo dell'autonomia di giudizio negli studenti?",B. Le attività di esercitazione e di laboratorio,B,True
Quale delle seguenti affermazioni descrive meglio il modo in cui il corso di laurea in Matematica aiuta gli studenti a sviluppare le loro capacità comunicative?,"A. Gli studenti sviluppano le loro capacità comunicative attraverso un approccio didattico interattivo che include esercitazioni, lavoro di gruppo e presentazioni.",A,True
Quanti crediti formativi (CFU) devono essere scelti obbligatoriamente tra i corsi proposti nel piano didattico?,B. 12,B,True
Quale delle seguenti affermazioni descrive più accuratamente l'obiettivo del corso di studi in matematica riguardo alla formazione professionale degli studenti?,"B. Fornire una solida base matematica e competenze applicabili in settori ad alto contenuto tecnologico, come l'industria, il mondo finanziario e i servizi.",B,True
Chi è responsabile della verifica della formazione in materia di sicurezza per gli studenti in tirocinio presso Soggetti esterni?,A. Le Aziende/Enti ospitanti,A,True
Quale dei seguenti servizi online è specificamente menzionato per gli studenti dell'Università di Bologna?,C. AlmaEsami,C,True
Quale dei seguenti servizi NON è disponibile per gli studenti dell'Università di Bologna?,C. UniboImmagine,B,False
Dove si trovano le informazioni sull'idoneità di lingua inglese per il primo anno del corso di laurea in Matematica?,B. Nella pagina del Centro Linguistico di Ateneo (Cilta),B,True
"Per ottenere il riconoscimento di un titolo equipollente in Lingua e Letteratura Italiana, a quale pagina web bisogna fare riferimento?",B. http://www.cilta.unibo.it/CILTA/Idoneitalinguistica/Certificazioniequipollenti.htm,B,True
