sorgente,domanda,corretta,errata_1,errata_2,errata_3
IngegneriaScienzeInformatiche/index.txt,Qual è il tipo di accesso numero programmato utilizzato per questo corso?,A. TOLC-I,B. TOLC-II,C. TOLC-III,D. TOLC-IV
IngegneriaScienzeInformatiche/coordinatore-consiglio/index.txt,Qual è la principale funzione del Coordinatore del Corso?,A. La pianificazione degli indirizzi del Consiglio.,B. La gestione dei rapporti con i Dipartimenti.,C. La formulanza di proposte in tema di organizzazione della didattica.,D. La previsione dei calendari e delle commissioni degli esami di laurea.
IngegneriaScienzeInformatiche/collaborazione-tra-aziende-e-i-corsi-di-laurea-in-ingegneria-e-scienze-informatiche/index.txt,Qual è la durata del tirocinio curriculare?,A. 150 ore,B. 3 mesi,C. 6 mesi,D. 9 mesi
3_IngegneriaScienzeInformatiche/collaborazione-tra-aziende-e-i-corsi-di-laurea-in-ingegneria-e-scienze-informatiche/istruzioni-per-la-pubblicazione-di-offerte-di-lavoro-tirocini-tesi-rev-1-4.pdf/@@download/file/Istruzioni%20per%20la%20Pubblicazione%20di%20Offerte%20di%20Lavoro-Tirocini-Tesi%20-%20Rev.1.4.pdf.txt,vuoto,vuoto,vuoto,vuoto,vuoto
IngegneriaScienzeInformatiche/conciliare-studio-e-lavoro/index.txt,Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","B. Dal 1º luglio al 31 agosto 2024, o dal 1º marzo al 31 maggio 2025","C. Dal 1º agosto al 31 agosto 2024, o dal 1º ottobre al 31 ottobre 2024","D. Dal 1º agosto al 31 agosto 2024, o dal 1º ottobre al 31 ottobre 2024"
IngegneriaScienzeInformatiche/iscriversi-al-corso/index.txt,Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,A. Dal 02/05/2024 al 15/07/2023 alle 13:00.,B. Dal 04/03/2024 al 30/04/2024 alle 13:00.,C. Dal 01/01/2023 al 29 aprile 2024 alle 13:00.,D. Dal 01/01/2023 al 12 luglio 2024 alle 13:00.
IngegneriaScienzeInformatiche/iscriversi/index.txt,Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"A. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",B. Il corso di laurea in Ingegneria Scienze Informatiche richiede molta esperienza universitaria.,C. Il corso di laurea in Ingegneria Scienze Informatiche è dedicato alla formazione di informatici.,D. Il corso di laurea in Ingegneria Scienze Informatiche richiede un'alta quota di accesso alle università.
IngegneriaScienzeInformatiche/il-corso/8615_regolamento-didattico-a-a-2024_2025.pdf.txt,Qual è l'obiettivo principale del piano didattico del corso di laurea?,A. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,B. Confermare la validità del corso di laurea.,C. Promuovere la sostenibilità dell’offerta didattica.,D. Garantire la qualità e la fiducia nell’organizzazione del corso di laurea.
IngegneriaScienzeInformatiche/il-corso/index.txt,Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,A. Descrivere la struttura del corso.,B. Elencare le materie del corso.,C. Definire l'organizzazione del corso.,D. Presentare le modalità di accesso al corso.
IngegneriaScienzeInformatiche/come-ridurre-i-costi-usare-i-servizi-e-vivere-al-meglio-mentre-studi/index.txt,Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,A. La mia e-mail Studenti,B. La mia e-mail Personale,C. Il mio portale,D. Il servizio online
IngegneriaScienzeInformatiche/contatti_order=alphabetic/index.txt,Qual è l'indirizzo della sede del corso in Cesena?,"A. Via Montalti 69, 47521 Cesena (FC)",B. Via Zamboni 33 - 40126 Bologna BO,"C. Palazzo Urbinati - Via Montalti 69, 47521 Cesena (FC)",D. Indirizzo non presente nel testo
IngegneriaScienzeInformatiche/richiesta-riconoscimento-attivita-lavorativa-o-extra-universitaria-in-sostituzione-del-tirocinio/index.txt,Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,A. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 13 del Regolamento universitario.,C. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 14 del Regolamento universitario.,D. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 15 del Regolamento universitario.
IngegneriaScienzeInformatiche/cosa-dicono-i-nostri-studenti/index.txt,Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,A. La possibilità di continuare un eventuale corso magistrale.,B. La possibilità di lavorare dopo il corso.,C. La possibilità di studiare l'informatica come si fa nel resto d'Europa.,D. La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.
IngegneriaScienzeInformatiche/iscriversi-ad-anni-successivi-al-primo/index.txt,Qual è il periodo in cui devi iscriverti al corso di studio?,A. Fino al conseguimento del titolo accademico.,B. Fino al pagamento della prima rata.,C. Fino alla scadenza della domanda di rinnovo.,D. Fino alla fine del corso di studio.
IngegneriaScienzeInformatiche/opportunita/index.txt,Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,A. Studiare all'estero,B. Borse di studio e agevolazioni,C. Mense e punti di ristoro,D. Trasorti e mobilità
