domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,C. TOLC-I,C. TOLC-I,True
Qual è la principale funzione del Coordinatore del Corso?,A. La pianificazione degli indirizzi del Consiglio.,D. La formulanza di proposte in tema di organizzazione della didattica.,False
Qual è la durata del tirocinio curriculare?,A. 150 ore,A. 150 ore.,True
Qual è il valore di 1 CFU in ore?,A. 25,A. 25,True
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025.",True
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,B. Dal 02/05/2024 al 15/07/2023 alle 13:00.,B. Dal 02/05/2024 al 15/07/2023 alle 13:00.,True
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"D. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.","D. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,B. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,B. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,B. Descrivere la struttura del corso.,D. Definire l'organizzazione del corso.,False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,D. La mia e-mail Studenti,D. La mia e-mail Studenti,True
Qual è l'indirizzo della sede del corso in Cesena?,"A. Via Montalti 69, 47521 Cesena (FC)","A. Via Montalti 69, 47521 Cesena (FC)",True
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,D. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 13 del Regolamento universitario.,False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,B. La possibilità di continuare un eventuale corso magistrale.,D. La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.,False
Qual è il periodo in cui devi iscriverti al corso di studio?,A. Fino al conseguimento del titolo accademico.,B. Fino al pagamento della prima rata.,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,B. Studiare all'estero,A. Borse di studio e agevolazioni.,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,A. Ampia scelta di corsi complementari in numerosi ambiti.,A. Ampia scelta di corsi complementari in numerosi ambiti.,True
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,True
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,True
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,C. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,C. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,True
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,C. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,C. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti.,True
Qual è il nome del docente inserito nel testo?,D. Non inserito nel testo,C. Andrea Amidei,False
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,C. La conservazione della struttura del corso,D. Sviluppare competenze trasversali per lavorare in team,False
Il laureato è in grado di eseguire...,A. Il laureato è in grado di eseguire...,"A, B, C, D
    The answer is:
    A. presentare materiali e argomentazioni, in forma orale e scritta, nella propria lingua ed in inglese nell'ambito delle attività e dei rapporti professionali;
    B. utilizzare gli strumenti matematici applicandoli agli scenari di altre discipline;
    C. programmare usando i principali linguaggi di programmazione imperativi e orientati agli oggetti utilizzati nei diversi scenari applicativi;
    D. risolvere un problema attraverso la progettazione di un algoritmo e la successiva codifica in un linguaggio di programmazione;
    E. interagire con altre persone e di condurre attività in collaborazione;
    F. possiede una buona predisposizione al lavoro di gruppo;
    G. sfruttare le principali tecniche di programmazione per
    H. possiede abilità nella comunicazione, in forma orale e scritta, informazioni, idee, problemi e soluzioni di tipo scientifico.

    The correct answer is: A, B, C, D, E, F, G, H.
    The answer is a list of the abilities that the laureato possesses, as described in the context.
    The answer is:
    A. presentare materiali e argomentazioni, in forma orale e scritta, nella propria lingua ed in inglese nell'ambito delle attività e dei rapporti professionali;
    B. utilizzare gli strumenti matematici applicandoli agli scenari di altre discipline;
    C. programmare usando i principali linguaggi di programmazione imperativi e orientati agli oggetti utilizzati nei diversi scenari applicativi;
    D. risolvere un problema attraverso la progettazione di un algoritmo e la successiva codifica in un linguaggio di programmazione;
    E. interagire con altre persone e di condurre attività in collaborazione;
    F. possiede una buona predisposizione al lavoro di gruppo;
    G. sfruttare le principali tecniche di programmazione per
    H. possiede abilità nella comunicazione, in forma orale e scritta, informazioni, idee, problemi e soluzioni di tipo scientifico.",True
