domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,B. Numero programmato - TOLC-I,B. Numero programmato - TOLC-I.,True
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,A.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,"D
    (D. Esercizio del potere di nomina dei professori del corso.)",False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","D. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.","D
    The text of the correct answer is: Studiare in un corso di Laurea, Laurea magistrale a ciclo unico o Laurea magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,C. Servizi di tutorato dedicati al supporto peer to peer.,C. Servizi di tutorato dedicati al supporto peer to peer.,True
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","D. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",C. Quando il relatore richiede un voto di 5 o 6 punti e lo studente ha una media dei voti non inferiore a 108/110.,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,B. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,"C
    The answer in Italian is: C. Il TOLC-I non è necessario sostenere presso la stessa sede del Corso di tuo interesse.",False
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",C. 1 ora e 50 minuti,C. 1 ora e 50 minuti.,True
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,C. 20 €,A. 50 €,False
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,B. 88,C. 54,False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,C. 23/09/2024,"D
    The text of the correct answer is: 15/09/2024",False
"Chi è la Responsabile del procedimento, secondo il testo?",D. dott.ssa Barbara Froio,"D.
    The text of the correct answer is: dott.ssa Barbara Froio.",True
"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?","C. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.",A.,False
Qual è la data limite per l'invio dell'attestato TOLC non ricevuto automaticamente per la prima selezione?,A. 9 maggio 2024,A. 9 maggio 2024.,True
Quando è possibile presentare la candidatura alla selezione per l'immatricolazione?,"C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00","C. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00.",True
