domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,C. Numero programmato - TOLC-I,"D
    The text of the correct answer is:  Concorso di merito",False
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,D.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,B. Esercizio del potere di nomina dei professori del corso.,False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","B. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.","B
    The text of the correct answer is: Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,A. Servizi di tutorato dedicati al supporto peer to peer.,"D
    The text of the correct answer is: Servizi di tutorato individuali con docenti esperti.",False
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","C. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",A. Quando il relatore richiede un voto di 5 o 6 punti e la Commissione esprime unanimemente il proprio parere positivo.,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,C. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,"C
    (The TOLC-I test is composed of 50 questions and lasts 1 hour and 50 minutes.)",True
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",D. 1 ora e 50 minuti,"A
    (1 ora e 30 minuti)",False
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,C. 20 €,"C
    The text of the correct answer is: 20 €",True
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,B. 88,"C
    The text of the correct answer is: 20",False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,A. 23/09/2024,"B
    The text of the correct answer is: 15/09/2024",False
