sorgente,domanda,corretta,errata_1,errata_2,errata_3
../matematica/index.txt,Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,A. Numero programmato - TOLC-I,B. Selezione libera,C. Concorso di merito,D.  Numero programmato - TOLC-II
../matematica/index.txt,"Quali risorse sono disponibili per gli studenti dell'Università di Bologna, secondo il testo fornito?","A.  Un negozio online, informazioni sull'equità, la diversità e l'inclusione, e podcast.","B. Un negozio online, un servizio di placement, informazioni sull'equità, la diversità e l'inclusione, e un forum di discussione.","C. Un servizio di placement, informazioni sull'equità, la diversità e l'inclusione, e podcast.","D. Un negozio online, informazioni sull'equità, la diversità e l'inclusione, e un servizio di tutoring."
../matematica/coordinatore-consiglio/index.txt,Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,A.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,B.  Esercizio del potere di nomina dei professori del corso.,C.  Formulazione di proposte in tema di revisione degli ordinamenti e dei regolamenti didattici.,D.  Riconoscimento dei crediti.
../matematica/conciliare-studio-e-lavoro/index.txt,"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","A. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",B. Studiare in un corso di Laurea o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 6 mesi con un impegno di almeno 5 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso.,C. Essere iscritti all'anno accademico 2024/2025 e aver svolto un'attività lavorativa per almeno 2 mesi con un impegno di almeno 3 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso.,D. Essere iscritti all'anno accademico 2023/2024 e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso.
../matematica/conciliare-studio-e-lavoro/index.txt,Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,A. Servizi di tutorato dedicati al supporto peer to peer.,B. Servizi di tutorato individuali con docenti esperti.,C. Accesso a laboratori di ricerca dedicati al corso.,D.  Un programma di mentoring con studenti di anni superiori.
../matematica/regole-del-consiglio-di-corso-di-laurea/index.txt,"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","A. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",B. Quando il relatore richiede un voto di 5 o 6 punti e la Commissione esprime unanimemente il proprio parere positivo.,C. Quando il relatore richiede un voto di 5 o 6 punti e lo studente ha una media dei voti non inferiore a 108/110.,D. Quando il relatore richiede un voto di 5 o 6 punti e lo studente ha completato con successo un periodo di studio all'estero.
../matematica/iscriversi-al-corso/index.txt,Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,A. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,B. Il TOLC-I è un test individuale con quesiti selezionati casualmente da un database.,C. Il TOLC-I è necessario sostenere presso la stessa sede del Corso di tuo interesse.,D. Il TOLC-I è uno strumento di orientamento e valutazione delle capacità iniziali.
../matematica/iscriversi-al-corso/index.txt,"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",A. 1 ora e 50 minuti,B. 1 ora e 30 minuti,C. 2 ore,D. 1 ora e 20 minuti
../matematica/iscriversi-al-corso/index.txt,Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,A. 20 €,B. 10 €,C. 30 €,D. 50 €
../matematica/iscriversi-al-corso/avviso_selezione-straordinaria_bando-tolc-scienze__a-a-2024-25.pdf/@@download/file/Avviso_Selezione%20Straordinaria_BANDO%20TOLC%20-%20SCIENZE__A.A.%202024-25.pdf.txt,Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,A. 88,B. 5,C. 20,D. 54
../matematica/iscriversi-al-corso/avviso_selezione-straordinaria_bando-tolc-scienze__a-a-2024-25.pdf/@@download/file/Avviso_Selezione%20Straordinaria_BANDO%20TOLC%20-%20SCIENZE__A.A.%202024-25.pdf.txt,Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,B. 16/09/2024,A. 23/09/2024,C. 15/09/2024,D. 30/09/2024
../matematica/iscriversi-al-corso/avviso_selezione-straordinaria_bando-tolc-scienze__a-a-2024-25.pdf/@@download/file/Avviso_Selezione%20Straordinaria_BANDO%20TOLC%20-%20SCIENZE__A.A.%202024-25.pdf.txt,"Chi è la Responsabile del procedimento, secondo il testo?",A. dott.ssa Barbara Froio,B. Il Responsabile del procedimento,C. Il dottor Barbara Froio,D. La Responsabile del processo
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,"Secondo il bando, qual è la modalità di pagamento per l'iscrizione al TOLC?","D. Seguendo le modalità indicate sul sito del CISIA, www.cisiaonline.it.","A. Tramite la piattaforma PagoPA, seguendo le indicazioni su Studenti Online.","B. Tramite bonifico bancario, con le coordinate bancarie indicate nel bando.",C.  Attraverso un pagamento diretto presso gli uffici dell'Università di Bologna.
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,Qual è la data limite per l'invio dell'attestato TOLC non ricevuto automaticamente per la prima selezione?,A. 9 maggio 2024,B. 6 maggio 2024,C. 16 maggio 2024,D. 27 maggio 2024
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,Quando è possibile presentare la candidatura alla selezione per l'immatricolazione?,"A. Dal 2 maggio 2024 al 15 luglio 2024, ore 13.00",B. Dal 1° gennaio 2023 al 12 luglio 2024,C. Dal 4 giugno 2024 al 10 giugno 2024,D. Dal 25 luglio 2024 al 30 luglio 2024
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,"Quanti posti sono disponibili per il corso di Astronomia (Codice 8004) per i cittadini italiani, dell'Unione Europea, cittadini non-UE equiparati e cittadini non-UE residenti all'estero che devono concorrere con i cittadini UE?",A. 35,B. 63,C. 75,D. 2
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,Quanti posti sono riservati ai cittadini non-UE residenti all'estero per il corso di laurea in Fisica a Bologna?,A. 2,B. 3,C. 10,D. 5
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,"Secondo il testo, entro quale data deve essere conseguito il diploma di scuola secondaria superiore da parte degli studenti che si iscrivono al corso con uno dei titoli elencati in 3.2.a?",A. 30 dicembre 2024,B. 31 marzo 2025,C. 30 dicembre 2025,D. 31 dicembre 2024
../matematica/iscriversi-al-corso/@@download/bando/Bando%20per%20l'ammissione%20ai%20corsi%20di%20laurea%20a%20numero%20programmato%20di%20Scienze%20a.a.%202024-2025.pdf.txt,"Secondo il bando, quando viene solitamente pubblicato il bando per l'ammissione ad anni successivi al primo?",A.  tra luglio e settembre 2024,B. tra giugno e agosto 2023,C. tra ottobre e dicembre 2024,D. tra gennaio e marzo 2025
