domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,D. TOLC-I,"Not provided in the question.
    The text of the correct answer is:  Non è specificato nel testo della domanda.
    (In English: Not provided in the question. The text of the correct answer is: Not specified in the question.)",False
Qual è la principale funzione del Coordinatore del Corso?,B. La pianificazione degli indirizzi del Consiglio.,"D
    The text of the correct answer is:  La formulanza di proposte in tema di organizzazione della didattica.",False
Qual è la durata del tirocinio curriculare?,C. 150 ore,"A
    The text of the correct answer is: 6 mesi",False
Qual è il valore di 1 CFU in ore?,C. 25,"C
    (The correct answer in Italian is: ""C. 25"")",True
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"A. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025","C
    The text of the correct answer is: Dal 1º agosto al 31 agosto 2024, o dal 1º ottobre al 31 ottobre 2024",False
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,B. Dal 02/05/2024 al 15/07/2023 alle 13:00.,"D
    The text of the correct answer is: Dal 01/01/2023 al 29 aprile 2024 alle 13:00.",False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"B. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.","B
    The text of the correct answer is: Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.",True
Qual è l'obiettivo principale del piano didattico del corso di laurea?,B. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,"B
    The text of the correct answer is: Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.",True
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,A. Descrivere la struttura del corso.,"D
    The text of the correct answer is: Presentare le modalità di accesso al corso.",False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,B. La mia e-mail Studenti,"C
    The text of the correct answer is: Il mio portale.",False
Qual è l'indirizzo della sede del corso in Cesena?,"D. Via Montalti 69, 47521 Cesena (FC)","B
    The text of the correct answer is: Palazzo Urbinati - Via Montalti 69, 47521 Cesena (FC)",False
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario.,"A
    The text of the correct answer is: La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’art. 15 del Regolamento universitario.",False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,C. La possibilità di continuare un eventuale corso magistrale.,"B
    The text of the correct answer is: La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.",False
Qual è il periodo in cui devi iscriverti al corso di studio?,B. Fino al conseguimento del titolo accademico.,"C
    The text of the correct answer is: Fino al pagamento della prima rata.",False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,B. Studiare all'estero,"A
    The text of the correct answer is: Mense e punti di ristoro (Meals and dining halls)",False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,D. Ampia scelta di corsi complementari in numerosi ambiti.,"A
    The text of the correct answer is: Corso di laurea magistrale opzionale.",False
