domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,D. TOLC-I, D. TOLC-I,False
Qual è la principale funzione del Coordinatore del Corso?,D. La pianificazione degli indirizzi del Consiglio., C. La formulanza di proposte in tema di organizzazione della didattica.,False
Qual è la durata del tirocinio curriculare?,D. 150 ore, D. 150 ore.,False
Qual è il valore di 1 CFU in ore?,B. 25, B. 25.,False
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"C. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025"," C
    The Italian translation of the correct answer is: C. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025",False
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,B. Dal 02/05/2024 al 15/07/2023 alle 13:00., D. Dal 01/01/2023 al 12 luglio 2024 alle 13:00.,False
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"A. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi.", C. Il corso di laurea in Ingegneria Scienze Informatiche è dedicato alla formazione di informatici.,False
Qual è l'obiettivo principale del piano didattico del corso di laurea?,D. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso., D. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.,False
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,B. Descrivere la struttura del corso., D. Definire l'organizzazione del corso.,False
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,D. La mia e-mail Studenti, D. La mia e-mail Studenti.,False
Qual è l'indirizzo della sede del corso in Cesena?,"B. Via Montalti 69, 47521 Cesena (FC)"," B. Via Montalti 69, 47521 Cesena (FC)",False
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,B. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario., Not provided in the context.,False
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,B. La possibilità di continuare un eventuale corso magistrale.," D.
    The answer in Italian is: D.
    The answer in English is: The main advantage of the Engineering and Computer Science course, according to the author, is to obtain a good base for starting a professional career.",False
Qual è il periodo in cui devi iscriverti al corso di studio?,C. Fino al conseguimento del titolo accademico., D. Fino al pagamento della prima rata.,False
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,C. Studiare all'estero, D. Borse di studio e agevolazioni.,False
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,B. Ampia scelta di corsi complementari in numerosi ambiti., B. Ampia scelta di corsi complementari in numerosi ambiti.,False
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche., C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche.,False
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche., B. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.,False
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso., B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.,False
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,A. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti., D. Conddivere con il Consiglio di Corso i risultati del monitoraggio svolto.,False
Qual è il nome del docente inserito nel testo?,D. Non inserito nel testo, C. Andrea Amidei,False
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,C. La conservazione della struttura del corso, A. Sviluppare competenze trasversali per lavorare in team.,False
