domanda,risposta_gold,risposta
Qual è il tipo di accesso numero programmato utilizzato per questo corso?,A. TOLC-I, A. TOLC-I
Qual è la principale funzione del Coordinatore del Corso?,B. La pianificazione degli indirizzi del Consiglio., D. La formulanza di proposte in tema di organizzazione della didattica.
Qual è la durata del tirocinio curriculare?,A. 150 ore, A. 150 ore.
Qual è il valore di 1 CFU in ore?,B. 25, B. 25.
Qual è il periodo in cui si può presentare domanda per ottenere lo status di studente lavoratore?,"B. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025"," B. Dal 4 settembre al 4 ottobre 2024, o dal 19 dicembre 2024 al 31 gennaio 2025."
Qual è il periodo in cui si possono iscrivere alla selezione II per l'accesso al corso?,C. Dal 02/05/2024 al 15/07/2023 alle 13:00.," B.
    The answer in Italian is: B."
Qual è il corso di laurea in Ingegneria Scienze Informatiche?,"B. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi."," B. Il corso di laurea in Ingegneria Scienze Informatiche fornisce un'ampia formazione in diverse aree di specializzazione, tra cui la programmazione, la gestione di sistemi e la teoria dei sistemi."
Qual è l'obiettivo principale del piano didattico del corso di laurea?,C. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso., C. Demonstrar la capacità di applicare e comunicare le conoscenze acquisite nel Corso di Studio stesso.
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,D. Descrivere la struttura del corso., D. Descrivere la struttura del corso.
Qual è il principale servizio pensato per supportare gli studenti nel loro percorso universitario?,D. La mia e-mail Studenti, D. La mia e-mail Studenti
Qual è l'indirizzo della sede del corso in Cesena?,"D. Via Montalti 69, 47521 Cesena (FC)"," D. Via Montalti 69, 47521 Cesena (FC)"
